org_1,org_2,type,infer,correct
telefonica de argentina,telefã³nica mã³viles argentina s a (movistar argentina),alias,alias,yes
hutchison international limited,pt indosat tbk,alias,alias,yes
china telecom,china telecom (americas) corporation,alias,alias,yes
vodafone,vodafone ltd,alias,alias,yes
mercedes-benz polska sp z o o,mercedes-benz usa llc,alias,alias,yes
rai radiotelevisione italiana,"television company ""rai"" llc",alias,alias,no
jehovas zeugen in deutschland k d o r,watchtower bible and tract society of south africa,alias,alias,yes
magna automotive holding gmbh,magna international inc,alias,alias,yes
watch tower bible and tract society of korea,watchtower bible and tract society of new york inc,alias,alias,yes
guidewire software (ireland) limited,guidewire software inc,alias,alias,yes
giga net informatica ltda,giga net informatica ltda me,alias,alias,yes
nathan moore,noah van der aa trading as frumentum media,alias,alias,no
all for one customer experience gmbh,all for one poland sp z o o,alias,alias,yes
iress market technology canada lp,iress market technology ltd,alias,alias,yes
cisco webex llc,webex worldwide b v,alias,alias,yes
nokian renkaat oyj,nokian tyres ltd,alias,alias,yes
smile communication drc,smile communications nigeria,alias,alias,yes
edgecast inc,edgio inc,alias,alias,yes
charter communications inc,charter communications llc,alias,alias,yes
pt media sarana akses,pt media sarana data,alias,alias,yes
digital hk kin chuen limited,digital singapore 2 pte ltd,alias,alias,yes
bytedance inc,tiktok pte ltd,alias,alias,yes
ip com ltd,ip-com llc,alias,alias,yes
american honda motor company inc,honda motor co ltd,alias,alias,yes
unicredit bank jsc,unicredit bank sa,alias,alias,yes
chinanet guizhou province network,chinanet hubei province xiantao network,alias,alias,yes
bain & company,bain and company inc united kingdom,alias,alias,yes
airbus defence and space as,airbus defence and space sas,alias,alias,yes
deloitte & touche ltda,deloitte & touche south africa,alias,alias,yes
ing bank n v,ing bank n v pobocka zahranicnej banky,alias,alias,yes
mynet,mynet s r l,alias,alias,yes
pelabuhan indonesia iv,pt pelabuhan indonesia ii,alias,alias,yes
securitas direct ab,securitas direct espana s a u,alias,alias,yes
seznam cz a s,seznam cz datova centra s r o,alias,alias,yes
at & t,at&t network systems,alias,alias,yes
orange business digital sweden ab,orange s a,alias,alias,yes
ministerstwo spraw wewnetrznych,ministerstwo spraw wewnetrznych i administracji,alias,alias,yes
pt palapa global nusantara,pt palapa network nusantara,alias,alias,yes
trinity health,trinity health corporation,alias,alias,yes
iron mountain data center,iron mountain inc,alias,alias,yes
orion telecom llc,orion telecomunicaã§ãµes comercio e serviã§os ltda,alias,alias,no
yahoo,yahoo-uk limited,alias,alias,yes
m247 europe srl,m247 ltd,alias,alias,yes
chinanet hubei province xianning network,chinanet yunnan province idc1 network,alias,alias,yes
ogilvy & mather advertising s r l,ogilvy gmbh,alias,alias,yes
globaltelehost corp,gthost,alias,alias,yes
ett sp z o o,eurotranstelecom ltd,alias,alias,yes
inovanet empreendimentos ltda,inovanet informatica e papelaria ltda - me,alias,alias,yes
digicel antilles francaises guyane,digicel antilles francaises guyane sa,alias,alias,yes
giga net informã¡tica ltda,pt giga digital nusantara,alias,alias,no
deutsche bank (suisse) sa,deutsche bank regional head office,alias,alias,yes
cable & wireless (barbados) limited,columbus communications curacao nv,alias,alias,yes
trivago hong kong limited,trivago n v,alias,alias,yes
datapipe europe ltd,datapipe inc,alias,alias,yes
ntt cloud communications us inc,ntt myanmar co ltd,alias,alias,yes
telia cygate oy,telia finland oyj,alias,alias,yes
chinanet sichuan province luzhou man network,chinanet sichuan province yaan man network,alias,alias,yes
netscout systems inc,netscout systems software india private limited,alias,alias,yes
wireless desenvolvimento de sistemas informatizada,wireless telecom group inc,alias,alias,no
orange business communications technology limited,orange business digital norway as,alias,alias,yes
international data corporation,international data group inc,alias,alias,yes
advanced knowledge networks,centrilogic inc,alias,alias,yes
avanti broadband ltd,avanti communications south africa (pty) ltd,alias,alias,yes
conselho da justica federal,justica federal de primeiro grau no parana,alias,alias,yes
xtom,xtom gmbh,alias,alias,yes
t rowe price,t rowe price associates inc,alias,alias,yes
digicel (aus) pty ltd,digicel trinidad and tobago ltd,alias,alias,yes
la torre del vigia a r,watchtower bible and tract society of south africa,alias,alias,yes
columbus communications curacao nv,flow,alias,alias,yes
ternopil ivan pul'uj national technical university,ternopil ivan puluj national technical university,alias,alias,yes
digital realty hellas single member s a,digital realty korea ltd,alias,alias,yes
pricewaterhousecoopers llp,pricewaterhousecoopers services limited,alias,alias,yes
bmw ag (bayerische motoren werke aktiengesellschaft),bayerische motoren werke aktiengesellschaft,alias,alias,yes
teleperformance group inc,teleperformance netherlands b v,alias,alias,yes
telekomunikasi indonesia international pt,telekomunikasi indonesia international (t l ) s a,alias,alias,yes
sun pharmaceutical industries ltd,sun pharmaceutical industries inc,alias,alias,yes
ntt cloud infrastructure services inc,ntt cloud infrastructure inc,alias,alias,yes
allianz suisse versicherungs-gesellschaft ag,allianz elementar versicherungs ag,alias,alias,yes
msc mediterranean shipping company sa,mediterranean shipping company belgium n v,alias,alias,yes
globalconnect as,globalconnect ab,alias,alias,yes
sony interactive entertainment llc,sony interactive entertainment europe limited,alias,alias,yes
technische universitaet graz,universitaet graz,alias,alias,yes
jsc transtelecom,joint stock company transtelecom,alias,alias,yes
thousandeyes inc,thousandeyes llc,alias,alias,yes
packetfabric inc,packetfabric (uk) ltd,alias,alias,yes
consolidated edison solutions inc,consolidated edison co of new york inc,alias,alias,yes
commonwealth bank of australia,commonwealth bank ltd,alias,alias,yes
iot jiangsu network chinatelecom p r china,iot guangdong network chinatelecom p r china,alias,alias,yes
tripadvisor limited,tripadvisor llc,alias,alias,yes
transcanada pipelines limited,transcanada pipelines ltd,alias,alias,yes
samsung electronics,samsung electronics co,alias,alias,yes
dailymotion s a,dailymotion inc,alias,alias,yes
texas instruments incorporated,texas instruments inc,alias,alias,yes
take two interactive software inc,take-two interactive software inc,alias,alias,yes
flextronics international usa inc,flextronics international ltd,alias,alias,yes
unitedlayer inc,unitedlayer llc,alias,alias,yes
maximatelecom north-west llc,maximatelecom jsc,alias,alias,yes
worldstream network b v,worldstream b v,alias,alias,yes
swift transportation company,swift transportation co llc,alias,alias,yes
singapore telecommunications ltd,singapore telecommunications limited,alias,alias,yes
general dynamics,general dynamics land systems,parent-child,parent-child,yes
cigna,express scripts incorporated,parent-child,parent-child,yes
ubisoft international sas,i3d net b v,parent-child,parent-child,yes
unitedhealthcare,kelsey-seybold clinic,parent-child,parent-child,yes
epam systems inc,epam systems india private limited,parent-child,parent-child,yes
university of washington,kexp,parent-child,parent-child,yes
the boeing company,hrl laboratories llc,parent-child,parent-child,yes
interglobe enterprises private limited,interglobe aviation ltd,parent-child,parent-child,yes
union bank of india,chaitanya godavari grameena bank,parent-child,parent-child,yes
nucor,independence tube corporation,parent-child,parent-child,yes
seven network inc,tvw,parent-child,parent-child,yes
best buy co inc,best buy canada ltd,parent-child,parent-child,yes
viva republica,toss bank,parent-child,parent-child,yes
telenor a s,dna oyj,parent-child,parent-child,yes
proximus,proximus luxembourg s a,parent-child,parent-child,yes
johnson & johnson,alza ehf,parent-child,parent-child,yes
telenor norge as,grameenphone limited,parent-child,parent-child,yes
oracle america inc,j d edwards & company,parent-child,parent-child,yes
hitachi ltd,hitachi data systems,parent-child,parent-child,yes
international business machines corporation,nsone inc,parent-child,parent-child,yes
the state university of new york,monroe community college,parent-child,parent-child,yes
orange s a ltd,orange cyberdefense belgium nv,parent-child,parent-child,yes
the blackstone group,altruista health inc,parent-child,parent-child,no
fastenal company,apex industrial technologies llc,parent-child,parent-child,yes
the blackstone group,metrotel sa esp,parent-child,parent-child,no
liberty media corporation,hsn interactive llc,parent-child,parent-child,yes
liquid telecommunications south africa (pty) ltd,hai telecommunications limited,parent-child,parent-child,yes
cdw ltd,sirius llc,parent-child,parent-child,yes
discovery communications,max hub limited,parent-child,parent-child,yes
gemini,omniex holdings inc,parent-child,parent-child,yes
hbo europe s r o,discovery 24 online,parent-child,parent-child,yes
u s department of energy,savannah river site,parent-child,parent-child,yes
ibm cloud,ibm argentina s r l,parent-child,parent-child,yes
c spire,harbor communications llc,parent-child,parent-child,yes
national association of realtors,florida assoc of realtors,parent-child,parent-child,yes
bnp paribas s a,bnp paribas bank polska s a,parent-child,parent-child,yes
uc health,university of colorado hospital,parent-child,parent-child,yes
nwn corporation,carousel industries of north america llc,parent-child,parent-child,yes
ibm corporation,fiberlink solutions limited,parent-child,parent-child,yes
ibm cloud,alphablox corporation,parent-child,parent-child,yes
amerisourcebergen,mwi veterinary supply co,parent-child,parent-child,yes
u s department of transportation,federal aviation administration,parent-child,parent-child,yes
international business machines corporation,global network solutions ibm japan ltd,parent-child,parent-child,yes
host europe gmbh,sucuri,parent-child,parent-child,yes
nat'l academy of sciences & engineering,institute for software systems of national academy of sciences of ukraine,parent-child,parent-child,yes
atos france sas,atos poland sp z o o,parent-child,parent-child,yes
cloudflare london llc,area 1 security inc,parent-child,parent-child,yes
motorola solutions inc,motorola solutions israel ltd,parent-child,parent-child,yes
experian,computec s a,parent-child,parent-child,yes
barclays bank plc,absa (amalgamated banks of south africa),parent-child,parent-child,no
home box office,hbo europe s r o,parent-child,parent-child,yes
warner bros interactive entertainment,turbine inc,parent-child,parent-child,yes
kakao corp,kakaobank corp,parent-child,parent-child,yes
home depot s r l,hd supply inc,parent-child,parent-child,yes
deutsche bank,bankers trust,parent-child,parent-child,yes
skyline broadband service,carolina west wireless,parent-child,parent-child,no
princeton,wilson college,parent-child,parent-child,yes
arizona board of regents,the university of arizona,parent-child,parent-child,yes
automattic inc,bubblestorm management (pty) ltd,parent-child,parent-child,yes
mass general brigham incorporated,massachusetts eye and ear infirmary,parent-child,parent-child,yes
kkr,axel springer se,parent-child,parent-child,yes
tsinghua university,cernet2 ix at tsinghua university,parent-child,parent-child,yes
hbo europe s r o,max hub limited,parent-child,parent-child,yes
vtb bank (public joint-stock company),vtb armenia bank cjsc,parent-child,parent-child,yes
ibm,alphablox corporation,parent-child,parent-child,yes
pulsant - onyx group,dedipower managed hosting limited,parent-child,parent-child,yes
rocket internet,rocketconnect ou,parent-child,parent-child,yes
myriad genetics incorporated,assurerx health inc,parent-child,parent-child,yes
united nations,united nations high commissioner for refugees,parent-child,parent-child,yes
stone point capital llc,ascensus college savings inc,parent-child,parent-child,yes
yonsei university,wonju severance christian hospital,parent-child,parent-child,yes
ubisoft entertainment,red storm entertainment,parent-child,parent-child,yes
the pennsylvania state university,pennsylvania college of technology,parent-child,parent-child,yes
china construction bank,china construction bank (asia) corporation limited,parent-child,parent-child,yes
smithsonian institution,smithsonian tropical research institute,parent-child,parent-child,yes
interactive brokers llc,interactive brokers india private limited,parent-child,parent-child,yes
cablevision systems corporation,cablevision lightpath llc,parent-child,parent-child,yes
volkswagen financial services ag,volkswagen bank gmbh,parent-child,parent-child,yes
vattenfall ab,vattenfall europe information services gmbh,parent-child,parent-child,yes
rensselaer polytechnic institute,rensselaer hartford graduate center,parent-child,parent-child,yes
hillenbrand inc,hillenbrand germany holding gmbh,parent-child,parent-child,yes
freudenberg se,freudenberg performance materials b v,parent-child,parent-child,yes
kollmorgen corporation,kollmorgen europe gmbh,parent-child,parent-child,yes
guidehouse inc,guidehouse india private limited,parent-child,parent-child,yes
frequentis ag,frequentis comsoft gmbh,parent-child,parent-child,yes
electronic arts inc,electronic arts ireland limited,parent-child,parent-child,yes
general conference of seventh-day adventists,florida conference of seventh-day adventist,parent-child,parent-child,yes
broadridge financial solutions inc,broadridge trading and connectivity solutions sas,parent-child,parent-child,yes
wolverine trading llc,wolverine execution services llc,parent-child,parent-child,yes
tennessee board of regents,tennessee technological university,parent-child,parent-child,yes
princeton university,princeton plasma physics laboratory,parent-child,parent-child,yes
pt pertamina (persero),pt pertamina bina medika,parent-child,parent-child,yes
panasonic corporation,panasonic corporation of north america,parent-child,parent-child,yes
zurich insurance company ag,zurich american insurance company,parent-child,parent-child,yes
fresenius se & co kgaa,fresenius medical care polska sa,parent-child,parent-child,yes
unilever plc,hindustan unilever limited,parent-child,parent-child,yes
stanford university,stanford hospital and clinics,parent-child,parent-child,yes
accenture llp,accenture federal services llc,parent-child,parent-child,yes
flatexdegiro ag,flatexdegiro bank ag,parent-child,parent-child,yes
dimension data asia pacific pte ltd,dimension data ltd,parent-child,parent-child,yes

